Springer, George: 0.322
Robles, Victor: 0.144
Raleigh, Cal: 0.441
Rodríguez, Julio: 0
Rojas, Josh: 0.689
Rivas, Leo: 0
Larnach, Trevor: 0.216
Castro, Willi: 0.342
Wallner, Matt: 0.314
Julien, Edouard: 0.176
Vázquez, Christian: 0
Correa, Carlos: 0.882
Miranda, Jose: 0.144
Jeffers, Ryan: 0.23
Buxton, Byron: 0.627
Martin, Austin: 0
Lee, Brooks: 0
Paddack, Chris: 0
Freeman, Freddie: 0.441
Feduccia, Hunter: 0.345
Betts, Mookie: 0.345
Muncy, Max: 0
Ohtani, Shohei: 0
Taylor, Chris: 0
Edman, Tommy: 0
Ramírez, José: 0.481
Kwan, Steven: 0.529
Naylor, Josh: 0.354
Thomas, Lane: 0.147
Giménez, Andrés: 0.177
Fry, David: 0.539
Brennan, Will: 0.221
Arias, Gabriel: 0
Freeman, Tyler: 0.221
Hedges, Austin: 0
Noel, Jhonkensy: 1.025
Rendon, Anthony: 0.418
Trout, Mike: 0.536
Soler, Jorge: 0.327
Newman, Kevin: 0.243
Moniak, Mickey: 0.131
d'Arnaud, Travis: 0.174
Adell, Jo: 0.098
Kingery, Scott: 0.475
Ward, Taylor: 0.341
Rengifo, Luis: 0.338
Neto, Zach: 0.588
O'Hoppe, Logan: 0
Kavadas, Niko: 0
Schanuel, Nolan: 0.294
Anderson, Tyler: 0
Donovan, Brendan: 0
Winn, Masyn: 0
Scott II, Victor: 1.025
Nootbaar, Lars: 0
Arenado, Nolan: 0.441
Burleson, Alec: 0.441
Pagés, Pedro: 0.441
Perez, Salvador: 0.429
Witt Jr., Bobby: 0.733
Pasquantino, Vinnie: 0.418
Fermin, Freddy: 0
Renfroe, Hunter: 0.669
Garcia, Maikel: 0.977
Melendez, MJ: 0.627
Isbel, Kyle: 0
Blanco, Dairon: 0.441
Abrams, CJ: 0.293
Tena, José: 0
Wood, James: 0.658
Ruiz, Keibert: 0.294
García Jr., Luis: 0.294
Chaparro, Andrés: 0.18
Young, Jacob: 0
Millas, Drew: 0.441
Torkelson, Spencer: 0.452
Greene, Riley: 0.115
Meadows, Parker: 0.527
Keith, Colt: 0.769
Vierling, Matt: 0.494
McKinstry, Zach: 0.524
Carpenter, Kerry: 0.837
Sweeney, Trey: 0.172
Pérez, Wenceel: 0.712
Rogers, Jake: 0.294
Dingler, Dillon: 0
Jung, Jace: 0.588
Baddoo, Akil: 2.05
Bellinger, Cody: 0.415
Happ, Ian: 0.676
Swanson, Dansby: 0.314
Wisdom, Patrick: 0
Busch, Michael: 0
Suzuki, Seiya: 0.174
Hoerner, Nico: 0.221
Crow-Armstrong, Pete: 0
Paredes, Isaac: 0.294
Madrigal, Nick: 0.696
McMahon, Ryan: 0.324
Rodgers, Brendan: 0.106
Bryant, Kris: 0.422
Toglia, Michael: 0
Hilliard, Sam: 0.6
Jones, Nolan: 0.483
Doyle, Brenton: 0.797
Tovar, Ezequiel: 0.441
Romo, Drew: 0.441
Márquez, Germán: 0.44
Goodman, Hunter: 0
Senzatela, Antonio: 0
Rooker, Brent: 0.425
Langeliers, Shea: 0.23
Brown, Seth: 0.524
Gelof, Zack: 0
Bleday, JJ: 0.294
Hernaiz, Darell: 0
Butler, Lawrence: 0.294
Schuemann, Max: 0
